hotel_name,address,score_text,hotel_url,hotel_name_detail,address_detail,lat,lng,star_rating,rating_value,rating_count,description,metadata_json
Zen Lotus Hotel & Apartment,"240 Trần Bạch Đằng, 550000 Đà Nẵng, Việt Nam, Thành phố Đà Nẵng, 550000","8,6",https://www.booking.com/hotel/vn/zen-lotus-amp-apartment-ngu-hanh-son.vi.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9kYV9uYW5nLCB2aWV0IG5hbUgqWARo9AGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApDLw80GwAIB0gIkODcxOGRhMWUtNTEwMi00MDZmLWEyNTUtMGJmZGVkM2I2YTZk2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-03-19&checkout=2026-03-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=65821a88b62f02c5&srepoch=1773200803&all_sr_blocks=1538529803_428052455_2_0_0_1304910&highlighted_blocks=1538529803_428052455_2_0_0_1304910&matching_block_id=1538529803_428052455_2_0_0_1304910&sr_pri_blocks=1538529803_428052455_2_0_0_1304910_136400000&from=searchresults,Zen Lotus Hotel & Apartment,"240 Trần Bạch Đằng, 550000 Đà Nẵng, Việt Nam, Thành phố Đà Nẵng, 550000",16.0492764,108.2475918,,8.6,,"Zen Lotus Hotel & Apartment tọa lạc giáp biển ở Đà Nẵng, cách Bãi biển Mỹ Khê 3 phút đi bộ và Cầu khóa Tình yêu Đà Nẵng 3.3 km.","{""image"": ""https://cf.bstatic.com/xdata/images/hotel/max500/813651573.jpg?k=ac1057b1a61a1933c76e519996870da6440441b858fce73b0801518c5e2a0c2e&o=&hp=1"", ""url"": ""https://www.booking.com/hotel/vn/zen-lotus-amp-apartment-ngu-hanh-son.vi.html"", ""@type"": ""Hotel"", ""description"": ""Zen Lotus Hotel & Apartment tọa lạc giáp biển ở Đà Nẵng, cách Bãi biển Mỹ Khê 3 phút đi bộ và Cầu khóa Tình yêu Đà Nẵng 3.3 km."", ""priceRange"": null, ""name"": ""Zen Lotus Hotel & Apartment"", ""@context"": ""http://schema.org"", ""aggregateRating"": {""reviewCount"": 49, ""ratingValue"": 8.6, ""bestRating"": 10, ""@type"": ""AggregateRating""}, ""address"": {""addressLocality"": ""240 Trần Bạch Đằng"", ""streetAddress"": ""240 Trần Bạch Đằng, 550000 Đà Nẵng, Việt Nam"", ""addressRegion"": ""Thành phố Đà Nẵng"", ""postalCode"": ""550000"", ""addressCountry"": ""Việt Nam"", ""@type"": ""PostalAddress""}}"
Brilliant Majestic Hotel,"121 Hồ Nghinh, Đà Nẵng, Việt Nam, Thành phố Đà Nẵng","7,9",https://www.booking.com/hotel/vn/brilliant-majetic-by-ds.vi.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9kYV9uYW5nLCB2aWV0IG5hbUgqWARo9AGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApDLw80GwAIB0gIkODcxOGRhMWUtNTEwMi00MDZmLWEyNTUtMGJmZGVkM2I2YTZk2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-03-19&checkout=2026-03-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=65821a88b62f02c5&srepoch=1773200803&all_sr_blocks=1100304214_386023083_0_0_0&highlighted_blocks=1100304214_386023083_0_0_0&matching_block_id=1100304214_386023083_0_0_0&sr_pri_blocks=1100304214_386023083_0_0_0__65790000&from=searchresults,Brilliant Majestic Hotel,"121 Hồ Nghinh, Đà Nẵng, Việt Nam, Thành phố Đà Nẵng",16.073648346143,108.242873306082,,7.9,,"Nằm cách Bãi biển Mỹ Khê 4 phút đi bộ, Brilliant Majestic Hotel cung cấp chỗ nghỉ 4 sao ở Đà Nẵng, đồng thời có khu vườn, nhà hàng và quầy bar.","{""address"": {""@type"": ""PostalAddress"", ""addressRegion"": ""Thành phố Đà Nẵng"", ""streetAddress"": ""121 Hồ Nghinh, Đà Nẵng, Việt Nam"", ""addressCountry"": ""Việt Nam"", ""postalCode"": """", ""addressLocality"": ""121 Hồ Nghinh""}, ""name"": ""Brilliant Majestic Hotel"", ""aggregateRating"": {""bestRating"": 10, ""@type"": ""AggregateRating"", ""ratingValue"": 7.9, ""reviewCount"": 200}, ""@context"": ""http://schema.org"", ""url"": ""https://www.booking.com/hotel/vn/brilliant-majetic-by-ds.vi.html"", ""description"": ""Nằm cách Bãi biển Mỹ Khê 4 phút đi bộ, Brilliant Majestic Hotel cung cấp chỗ nghỉ 4 sao ở Đà Nẵng, đồng thời có khu vườn, nhà hàng và quầy bar."", ""priceRange"": null, ""@type"": ""Hotel"", ""image"": ""https://cf.bstatic.com/xdata/images/hotel/max500/522218892.jpg?k=058a33b85e0c40e918b6a34867fd98e2e0a3ff64b6908af5c372e51f025e0155&o=&hp=1""}"
POSIKI Hotel & Dorm - Danang Dragon Bridge,"215 Trần Phú, phường Phước Ninh, quận Hải Châu, Đà Nẵng, Việt Nam, Thành phố Đà Nẵng","6,6",https://www.booking.com/hotel/vn/dragon-hostel-amp-coffee.vi.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9kYV9uYW5nLCB2aWV0IG5hbUgqWARo9AGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApDLw80GwAIB0gIkODcxOGRhMWUtNTEwMi00MDZmLWEyNTUtMGJmZGVkM2I2YTZk2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-03-19&checkout=2026-03-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=65821a88b62f02c5&srepoch=1773200803&all_sr_blocks=659475126_412535316_2_0_0&highlighted_blocks=659475126_412535316_2_0_0&matching_block_id=659475126_412535316_2_0_0&sr_pri_blocks=659475126_412535316_2_0_0__27151200&from=searchresults,POSIKI Hotel & Dorm - Danang Dragon Bridge,"215 Trần Phú, phường Phước Ninh, quận Hải Châu, Đà Nẵng, Việt Nam, Thành phố Đà Nẵng",16.064539,108.223557,,6.6,,"Nằm tại vị trí thuận tiện ở Đà Nẵng, POSIKI Hotel & Dorm - Danang Dragon Bridge cung cấp các phòng có điều hòa, phòng chờ chung, Wi-Fi miễn phí và quầy...","{""image"": ""https://cf.bstatic.com/xdata/images/hotel/max500/292944862.jpg?k=857749e09fcf039ed6ff0e0cd119ffb761fbf9239fe768622a3cba2762c39e3d&o=&hp=1"", ""@context"": ""http://schema.org"", ""name"": ""POSIKI Hotel & Dorm - Danang Dragon Bridge"", ""address"": {""postalCode"": """", ""@type"": ""PostalAddress"", ""addressLocality"": ""215 Trần Phú, phường Phước Ninh, quận Hải Châu"", ""streetAddress"": ""215 Trần Phú, phường Phước Ninh, quận Hải Châu, Đà Nẵng, Việt Nam"", ""addressCountry"": ""Việt Nam"", ""addressRegion"": ""Thành phố Đà Nẵng""}, ""@type"": ""Hotel"", ""priceRange"": null, ""description"": ""Nằm tại vị trí thuận tiện ở Đà Nẵng, POSIKI Hotel & Dorm - Danang Dragon Bridge cung cấp các phòng có điều hòa, phòng chờ chung, Wi-Fi miễn phí và quầy..."", ""url"": ""https://www.booking.com/hotel/vn/dragon-hostel-amp-coffee.vi.html"", ""aggregateRating"": {""bestRating"": 10, ""reviewCount"": 1310, ""ratingValue"": 6.6, ""@type"": ""AggregateRating""}}"
Dang's Hotel,"92 Mai Hac De, Đà Nẵng, Việt Nam, Thành phố Đà Nẵng","8,2",https://www.booking.com/hotel/vn/dang-39-s.vi.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9kYV9uYW5nLCB2aWV0IG5hbUgqWARo9AGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApDLw80GwAIB0gIkODcxOGRhMWUtNTEwMi00MDZmLWEyNTUtMGJmZGVkM2I2YTZk2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-03-19&checkout=2026-03-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=65821a88b62f02c5&srepoch=1773200803&all_sr_blocks=389939304_266471019_2_0_0&highlighted_blocks=389939304_266471019_2_0_0&matching_block_id=389939304_266471019_2_0_0&sr_pri_blocks=389939304_266471019_2_0_0__52200000&from=searchresults,Dang's Hotel,"92 Mai Hac De, Đà Nẵng, Việt Nam, Thành phố Đà Nẵng",16.062999,108.231633,,8.2,,"Nằm tại vị trí thuận tiện ở Sông Hàn, Đà Nẵng, Dang's Hotel nằm cách Bãi biển Mỹ Khê 2 km, Cầu khóa Tình yêu Đà Nẵng 3 phút đi bộ và Bảo tàng điêu khắc...","{""name"": ""Dang's Hotel"", ""priceRange"": null, ""@type"": ""Hotel"", ""address"": {""@type"": ""PostalAddress"", ""addressRegion"": ""Thành phố Đà Nẵng"", ""addressCountry"": ""Việt Nam"", ""streetAddress"": ""92 Mai Hac De, Đà Nẵng, Việt Nam"", ""postalCode"": """", ""addressLocality"": ""92 Mai Hac De""}, ""description"": ""Nằm tại vị trí thuận tiện ở Sông Hàn, Đà Nẵng, Dang's Hotel nằm cách Bãi biển Mỹ Khê 2 km, Cầu khóa Tình yêu Đà Nẵng 3 phút đi bộ và Bảo tàng điêu khắc..."", ""url"": ""https://www.booking.com/hotel/vn/dang-39-s.vi.html"", ""image"": ""https://cf.bstatic.com/xdata/images/hotel/max500/156916041.jpg?k=ce17cb26530e75d49710e62128f7fa1a88f8bc794f8f14ccd1723a606cb25bde&o=&hp=1"", ""aggregateRating"": {""reviewCount"": 303, ""ratingValue"": 8.2, ""@type"": ""AggregateRating"", ""bestRating"": 10}, ""@context"": ""http://schema.org""}"
Bella Merry Hotel and Apartment - 100M To The My Khe Beach,"69-71 Hà Bổng, Sơn Trà, Đà Nẵng, Việt Nam, Thành phố Đà Nẵng","7,6",https://www.booking.com/hotel/vn/bella-merry-and-spa.vi.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9kYV9uYW5nLCB2aWV0IG5hbUgqWARo9AGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApDLw80GwAIB0gIkODcxOGRhMWUtNTEwMi00MDZmLWEyNTUtMGJmZGVkM2I2YTZk2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-03-19&checkout=2026-03-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=65821a88b62f02c5&srepoch=1773200803&all_sr_blocks=726586605_423092332_2_2_0&highlighted_blocks=726586605_423092332_2_2_0&matching_block_id=726586605_423092332_2_2_0&sr_pri_blocks=726586605_423092332_2_2_0__68800000&from=searchresults,Bella Merry Hotel and Apartment - 100M To The My Khe Beach,"69-71 Hà Bổng, Sơn Trà, Đà Nẵng, Việt Nam, Thành phố Đà Nẵng",16.066304,108.244368,,7.6,,"Nằm giáp biển, Bella Merry Hotel and Apartment - 100M To The My Khe Beach cung cấp chỗ nghỉ 4 sao ở Đà Nẵng, đồng thời có hồ bơi ngoài trời, khu vườn và...","{""address"": {""addressCountry"": ""Việt Nam"", ""streetAddress"": ""69-71 Hà Bổng, Sơn Trà, Đà Nẵng, Việt Nam"", ""addressRegion"": ""Thành phố Đà Nẵng"", ""@type"": ""PostalAddress"", ""postalCode"": """", ""addressLocality"": ""69-71 Hà Bổng, Sơn Trà""}, ""priceRange"": null, ""name"": ""Bella Merry Hotel and Apartment - 100M To The My Khe Beach"", ""@context"": ""http://schema.org"", ""aggregateRating"": {""reviewCount"": 488, ""bestRating"": 10, ""ratingValue"": 7.6, ""@type"": ""AggregateRating""}, ""url"": ""https://www.booking.com/hotel/vn/bella-merry-and-spa.vi.html"", ""description"": ""Nằm giáp biển, Bella Merry Hotel and Apartment - 100M To The My Khe Beach cung cấp chỗ nghỉ 4 sao ở Đà Nẵng, đồng thời có hồ bơi ngoài trời, khu vườn và..."", ""image"": ""https://cf.bstatic.com/xdata/images/hotel/max500/557899545.jpg?k=2667489c319bdf6604a6d95e54f230be0ffc793347548b2f6505c33be0cf5770&o=&hp=1"", ""@type"": ""Hotel""}"
The Dream Beach Hotel Danang,"Chính Hữu, An Hải Bắc, Sơn Trà, 550000 Đà Nẵng, Việt Nam, Thành phố Đà Nẵng, 550000","7,8",https://www.booking.com/hotel/vn/the-dream-beach-danang.vi.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9kYV9uYW5nLCB2aWV0IG5hbUgqWARo9AGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApDLw80GwAIB0gIkODcxOGRhMWUtNTEwMi00MDZmLWEyNTUtMGJmZGVkM2I2YTZk2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-03-19&checkout=2026-03-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=65821a88b62f02c5&srepoch=1773200803&all_sr_blocks=1400722804_412036458_2_0_0&highlighted_blocks=1400722804_412036458_2_0_0&matching_block_id=1400722804_412036458_2_0_0&sr_pri_blocks=1400722804_412036458_2_0_0__37962000&from=searchresults,The Dream Beach Hotel Danang,"Chính Hữu, An Hải Bắc, Sơn Trà, 550000 Đà Nẵng, Việt Nam, Thành phố Đà Nẵng, 550000",16.0740249118315,108.239841208683,,7.9,,"Nằm cách Bãi biển Mỹ Khê 8 phút đi bộ và Cầu sông Hàn 1.8 km, The Dream Beach Hotel Danang cung cấp các phòng ở Đà Nẵng.","{""address"": {""addressLocality"": ""Chính Hữu, An Hải Bắc, Sơn Trà"", ""addressCountry"": ""Việt Nam"", ""postalCode"": ""550000"", ""streetAddress"": ""Chính Hữu, An Hải Bắc, Sơn Trà, 550000 Đà Nẵng, Việt Nam"", ""@type"": ""PostalAddress"", ""addressRegion"": ""Thành phố Đà Nẵng""}, ""description"": ""Nằm cách Bãi biển Mỹ Khê 8 phút đi bộ và Cầu sông Hàn 1.8 km, The Dream Beach Hotel Danang cung cấp các phòng ở Đà Nẵng."", ""aggregateRating"": {""@type"": ""AggregateRating"", ""bestRating"": 10, ""ratingValue"": 7.9, ""reviewCount"": 135}, ""name"": ""The Dream Beach Hotel Danang"", ""priceRange"": null, ""image"": ""https://cf.bstatic.com/xdata/images/hotel/max500/674725288.jpg?k=8d1adf96094ecd8d35b074d2dd252bceffc9048e070bbb34641df045e82fa7b1&o=&hp=1"", ""@type"": ""Hotel"", ""@context"": ""http://schema.org"", ""url"": ""https://www.booking.com/hotel/vn/the-dream-beach-danang.vi.html""}"
Quang Minh Riverside Hotel Danang,"453 Đường Trần Hưng Đạo, Đà Nẵng, Việt Nam, Thành phố Đà Nẵng","8,8",https://www.booking.com/hotel/vn/quang-minh-da-nang.vi.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9kYV9uYW5nLCB2aWV0IG5hbUgqWARo9AGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApDLw80GwAIB0gIkODcxOGRhMWUtNTEwMi00MDZmLWEyNTUtMGJmZGVkM2I2YTZk2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-03-19&checkout=2026-03-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=65821a88b62f02c5&srepoch=1773200803&all_sr_blocks=1020596003_402113739_2_0_0&highlighted_blocks=1020596003_402113739_2_0_0&matching_block_id=1020596003_402113739_2_0_0&sr_pri_blocks=1020596003_402113739_2_0_0__51300000&from=searchresults,Quang Minh Riverside Hotel Danang,"453 Đường Trần Hưng Đạo, Đà Nẵng, Việt Nam, Thành phố Đà Nẵng",16.064518,108.2301,,8.8,,"Nằm tại vị trí thuận tiện ở Sông Hàn, Đà Nẵng, Quang Minh Riverside Hotel Danang nằm cách Bãi biển Mỹ Khê 2.","{""@context"": ""http://schema.org"", ""name"": ""Quang Minh Riverside Hotel Danang"", ""address"": {""addressLocality"": ""453 Đường Trần Hưng Đạo"", ""postalCode"": """", ""addressCountry"": ""Việt Nam"", ""@type"": ""PostalAddress"", ""streetAddress"": ""453 Đường Trần Hưng Đạo, Đà Nẵng, Việt Nam"", ""addressRegion"": ""Thành phố Đà Nẵng""}, ""description"": ""Nằm tại vị trí thuận tiện ở Sông Hàn, Đà Nẵng, Quang Minh Riverside Hotel Danang nằm cách Bãi biển Mỹ Khê 2."", ""aggregateRating"": {""ratingValue"": 8.8, ""reviewCount"": 267, ""bestRating"": 10, ""@type"": ""AggregateRating""}, ""image"": ""https://cf.bstatic.com/xdata/images/hotel/max500/515698151.jpg?k=f53101168ecf967e00adf94885580bad974a29cf3666c44c5b1d32ac3df8cff1&o=&hp=1"", ""url"": ""https://www.booking.com/hotel/vn/quang-minh-da-nang.vi.html"", ""@type"": ""Hotel"", ""priceRange"": null}"
The Pergola Design Hotel,"K35/37 Duong Dinh Nghe, Đà Nẵng, Việt Nam, Thành phố Đà Nẵng","8,4",https://www.booking.com/hotel/vn/pergola.vi.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9kYV9uYW5nLCB2aWV0IG5hbUgqWARo9AGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApDLw80GwAIB0gIkODcxOGRhMWUtNTEwMi00MDZmLWEyNTUtMGJmZGVkM2I2YTZk2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-03-19&checkout=2026-03-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=65821a88b62f02c5&srepoch=1773200803&all_sr_blocks=252272317_401211077_2_1_0_174540&highlighted_blocks=252272317_401211077_2_1_0_174540&matching_block_id=252272317_401211077_2_1_0_174540&sr_pri_blocks=252272317_401211077_2_1_0_174540_67725000&from=searchresults,The Pergola Design Hotel,"K35/37 Duong Dinh Nghe, Đà Nẵng, Việt Nam, Thành phố Đà Nẵng",16.0656236411973,108.243582146242,,8.4,,"The Pergola Design Hotel có phòng chờ chung, sân hiên, nhà hàng và quầy bar ở Đà Nẵng.","{""priceRange"": null, ""url"": ""https://www.booking.com/hotel/vn/pergola.vi.html"", ""description"": ""The Pergola Design Hotel có phòng chờ chung, sân hiên, nhà hàng và quầy bar ở Đà Nẵng."", ""@context"": ""http://schema.org"", ""@type"": ""Hotel"", ""aggregateRating"": {""reviewCount"": 871, ""@type"": ""AggregateRating"", ""ratingValue"": 8.4, ""bestRating"": 10}, ""address"": {""addressLocality"": ""K35/37 Duong Dinh Nghe"", ""addressCountry"": ""Việt Nam"", ""streetAddress"": ""K35/37 Duong Dinh Nghe, Đà Nẵng, Việt Nam"", ""@type"": ""PostalAddress"", ""postalCode"": """", ""addressRegion"": ""Thành phố Đà Nẵng""}, ""image"": ""https://cf.bstatic.com/xdata/images/hotel/max500/618254281.jpg?k=a7f2ba6f7ec9e22cd1470d632123bcc45bd73403694baa8ea9b771dc88aa2a6e&o=&hp=1"", ""name"": ""The Pergola Design Hotel""}"
Quoc Thien Hotel Da Nang,"44-46-48 Tôn Thất Đạm, Phường Thanh Khê, Đà Nẵng 8, 50005 Đà Nẵng, Việt Nam, Thành phố Đà Nẵng, 50005","8,3",https://www.booking.com/hotel/vn/khach-san-quoc-thien.vi.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9kYV9uYW5nLCB2aWV0IG5hbUgqWARo9AGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApDLw80GwAIB0gIkODcxOGRhMWUtNTEwMi00MDZmLWEyNTUtMGJmZGVkM2I2YTZk2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-03-19&checkout=2026-03-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=65821a88b62f02c5&srepoch=1773200803&all_sr_blocks=1554613501_426599981_2_0_0&highlighted_blocks=1554613501_426599981_2_0_0&matching_block_id=1554613501_426599981_2_0_0&sr_pri_blocks=1554613501_426599981_2_0_0__46494000&from=searchresults,Quoc Thien Hotel Da Nang,"44-46-48 Tôn Thất Đạm, Phường Thanh Khê, Đà Nẵng 8, 50005 Đà Nẵng, Việt Nam, Thành phố Đà Nẵng, 50005",16.0717123,108.2010727,,8.2,,"Nằm cách Bãi biển Thanh Bình 1.7 km và Cầu sông Hàn 3.2 km, Quoc Thien Hotel Da Nang cung cấp các phòng điều hòa và phòng tắm riêng ở Đà Nẵng.","{""@context"": ""http://schema.org"", ""@type"": ""Hotel"", ""name"": ""Quoc Thien Hotel Da Nang"", ""aggregateRating"": {""ratingValue"": 8.2, ""bestRating"": 10, ""@type"": ""AggregateRating"", ""reviewCount"": 90}, ""url"": ""https://www.booking.com/hotel/vn/khach-san-quoc-thien.vi.html"", ""image"": ""https://cf.bstatic.com/xdata/images/hotel/max500/811156929.jpg?k=011be9292f1297bacea82b22a1f5282dd47bf7ba142d16cf3f15aae244a7a0b9&o=&hp=1"", ""address"": {""streetAddress"": ""44-46-48 Tôn Thất Đạm, Phường Thanh Khê, Đà Nẵng 8, 50005 Đà Nẵng, Việt Nam"", ""addressLocality"": ""44-46-48 Tôn Thất Đạm, Phường Thanh Khê, Đà Nẵng 8"", ""addressCountry"": ""Việt Nam"", ""@type"": ""PostalAddress"", ""postalCode"": ""50005"", ""addressRegion"": ""Thành phố Đà Nẵng""}, ""description"": ""Nằm cách Bãi biển Thanh Bình 1.7 km và Cầu sông Hàn 3.2 km, Quoc Thien Hotel Da Nang cung cấp các phòng điều hòa và phòng tắm riêng ở Đà Nẵng."", ""priceRange"": null}"
Gold Central Hotel by Haviland,"24 Nui Thanh, Đà Nẵng, Việt Nam, Thành phố Đà Nẵng","8,6",https://www.booking.com/hotel/vn/gold-da-nang.vi.html?aid=304142&label=gen173nr-10CAQoggJCGHNlYXJjaF9kYV9uYW5nLCB2aWV0IG5hbUgqWARo9AGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApDLw80GwAIB0gIkODcxOGRhMWUtNTEwMi00MDZmLWEyNTUtMGJmZGVkM2I2YTZk2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-03-19&checkout=2026-03-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=65821a88b62f02c5&srepoch=1773200803&all_sr_blocks=40800901_269365089_2_0_0_776341&highlighted_blocks=40800901_269365089_2_0_0_776341&matching_block_id=40800901_269365089_2_0_0_776341&sr_pri_blocks=40800901_269365089_2_0_0_776341_70452900&from=searchresults,Gold Central Hotel by Haviland,"24 Nui Thanh, Đà Nẵng, Việt Nam, Thành phố Đà Nẵng",16.053888490966195,108.22005406022072,,8.6,,"Nằm cách Sân bay Quốc tế Đà Nẵng 5 phút lái xe, Gold Central Hotel by Haviland có quầy lễ tân 24 giờ và Wi-Fi miễn phí trong toàn bộ tòa nhà.","{""name"": ""Gold Central Hotel by Haviland"", ""@context"": ""http://schema.org"", ""address"": {""addressLocality"": ""24 Nui Thanh"", ""addressRegion"": ""Thành phố Đà Nẵng"", ""@type"": ""PostalAddress"", ""postalCode"": """", ""addressCountry"": ""Việt Nam"", ""streetAddress"": ""24 Nui Thanh, Đà Nẵng, Việt Nam""}, ""description"": ""Nằm cách Sân bay Quốc tế Đà Nẵng 5 phút lái xe, Gold Central Hotel by Haviland có quầy lễ tân 24 giờ và Wi-Fi miễn phí trong toàn bộ tòa nhà."", ""image"": ""https://cf.bstatic.com/xdata/images/hotel/max500/484159827.jpg?k=e99a62722ae6759b30d84f687fb89598f6bcd9b47ca2430fc055c47dec38a16a&o=&hp=1"", ""aggregateRating"": {""reviewCount"": 745, ""bestRating"": 10, ""@type"": ""AggregateRating"", ""ratingValue"": 8.6}, ""priceRange"": null, ""url"": ""https://www.booking.com/hotel/vn/gold-da-nang.vi.html"", ""@type"": ""Hotel""}"
