STT,TÃƒÂªn quÃƒÂ¡n,Ã„ÂÃ¡Â»â€¹a chÃ¡Â»â€°,Ã„ÂiÃ¡Â»â€¡n thoÃ¡ÂºÂ¡i,Rating,Latitude,Longitude,Distance,IsDelivery,IsOpening,Google Maps
1,Cơm Gà Lê Trang - Mậu Thân,"F8 Mậu Thân, P. An Phú, Quận Ninh Kiều, Cần Thơ",0944 015 012,7.42,10.034113,105.773476,1.1596631080454605,True,True,"https://www.google.com/maps?q=10.034113,105.773476"
2,Trà Sữa Chin - Quang Trung,"83A Quang Trung, P. An Lạc, Quận Ninh Kiều, Cần Thơ",0901 012 067,7.28,10.0281503,105.7800767,0.5780945280761189,True,True,"https://www.google.com/maps?q=10.0281503,105.7800767"
3,"Cơm Nhà Cô Ba - Cơm Sườn, Nui Xào Bò & Mì Xào - Mạc Thiên Tích","108 Mạc Thiên Tích, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,8.0,10.0302012,105.7768178,0.7863469137246615,True,True,"https://www.google.com/maps?q=10.0302012,105.7768178"
4,Gà Rán KFC - Big C Hưng Phú Cần Thơ,"Lô Số 1 Khu Dân Cư Hưng Phú 1, P. Hưng Phú, Quận Cái Răng, Cần Thơ",Đang cập nhật,7.62,10.014285,105.784199,1.953602120669397,True,True,"https://www.google.com/maps?q=10.014285,105.784199"
5,Mỳ cay Itada - 404A1 Nguyễn Văn Cừ Nối Dài,"404A1 Nguyễn Văn Cừ Nối Dài, P. An Khánh, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,6.56,10.03309,105.754799,3.1818973877159604,True,True,"https://www.google.com/maps?q=10.03309,105.754799"
6,Đông - Gà Ác Tiềm Thuốc Bắc,"86/39A Lý Tự Trọng, P. An Cư, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,6.8,10.034389,105.781554,0.3763728715201088,True,True,"https://www.google.com/maps?q=10.034389,105.781554"
7,Cơm Tấm Long Xuyên Sáu Phương - Trương Định,"24A Trương Định, P. An Cư, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.34,10.036718,105.7837677,0.5441417700379988,True,False,"https://www.google.com/maps?q=10.036718,105.7837677"
8,Bánh Mì Hữu Hiệp - Trần Hưng Đạo,"149 Trần Hưng Đạo, P. An Phú, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.766,10.035726,105.775842,0.9740032683368935,True,True,"https://www.google.com/maps?q=10.035726,105.775842"
9,Mỳ cay Itada - Đường 3 Tháng 2,"116B Đường 3 Tháng 2, Quận Ninh Kiều, Cần Thơ",01268 807 716 - (0292) 3 822 232,7.418,10.0291238,105.7717093,1.3589555708597365,True,True,"https://www.google.com/maps?q=10.0291238,105.7717093"
10,Súp Mộc Cần Thơ,"105 Xô Viết Nghệ Tĩnh, P. An Cư, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,6.686,10.040382,105.781934,0.97368755617594,True,True,"https://www.google.com/maps?q=10.040382,105.781934"
